Format;Appearances;Example;Interpretation;inaccurate;wrong
Pfingstsonntag _ ?. __ i.e. _._.____;1;Pfingstsonntag 5 VI. 92 [i.e. 5.6.1892];1892-06-05;;;
ca ____;1;ca 1853;1853?;;;
__ ? __ i.e. __ ? __;1;26 IX 87 [i.e. 26 IX 87];1987-09-26;;;
ca. vor ____;1;[ca. vor 1878];1878?;x;;
Ostermontag _ ?. ____ i.e. _._.____;1;Ostermontag 8 IV. 1901 [i.e. 8.4.1901];1901-04-08;;;
Aufg. __ ? ____;1;Aufg. 31 März 1860;1860-03-31;;;
cop. ? ____;1;cop. Maerz 1884;1884-03;;;
__/__ ? __;1;20/21 Sept 81;1981-09-21;x;;
Aufg. __ ?. __ i.e. __._.____;1;Aufg. 19 Sept. 58 [i.e. 19.9.1858];1858-09-19;;;
_.__.__.__ i.e. ? ____;1;2.11.20.86 [i.e. [?] 1886];0020-11-02;x;x;
aufg. _ ? ____;1;aufg. 8 Juli 1859;1859-07-08;;;
Aufg._ ? __ i.e. _._.____;1;Aufg.9 Juli 59 [i.e. 9.7.1859];1859-07-09;;;
ca. ____ und ____;1;[ca. 1890 und 1904];1890/1904;x;;
Aufge __ ? __ i.e. __._.____;1;Aufge 21 April 60 [i.e. 21.4.1860];1860-04-21;;;Format;Appearances;Example;Interpretation;inaccurate;wrong;note
____;3680;[1860];1860;;;
zwischen ____ und ____;2048;[zwischen 1877 und 1899];1877/1899;;;
zwischen ____ und ____?;1000;[zwischen 1830 und 1840?];1830/1840;;;
circa ____?;804;[circa 1850?];1850?;;;
circa ____;442;[circa 1845];1845?;;;
nicht vor ____;386;[nicht vor 1891];1891/;;;
nicht nach ____;354;[nicht nach 1896];/1896;;;
____?;219;[1850?];1850?;;;
nach ____;143;[nach 1841];1841/;;;
vor ____;107;[vor 1794];/1794;;;
um ____;105;[um 1840];1840?;;;
__. ? ____;62;26. März [18]96;1896-03-26;;;
? ____;53;August 1900;1900-08;;;
?. __. ____;48;Aug. 18. 1859;1859-08;x;;
__ ? ____;42;14 Sept 1866;1866-09-14;;;
__. ?. ____;41;19. Oct. [18]58;1858-10-19;;;
__. ¢;39;19. Jahrhundert;18XX;;;
__. ¢?;38;[17. Jahrhundert?];16XX;;;
ca. ____;35;[ca. 1890];1890?;;;
nicht vor ____?;33;[nicht vor 1863?];1863/;;;
nicht nach ____?;29;[nicht nach 1837?];/1837;;;
_. ? ____;27;8. April 1897;1897-04-08;;;
____ oder ____;22;[1704 oder 1742];1704;x;;
__. ?y ____;21;10. July 1803;1803;x;;
um ____?;19;[um 1820?];1820?;;;
__ ?. ____;19;14 Sept. 1866;1866-09-14;;;
?. ____;16;Aug. 1908;1908-08;;;
_ ? ____;16;8 Sept [18]81;1881-09-08;;;
_. ?. ____;14;2. VI. 1822;1822-06-02;;;
__.;13;93.;;!;!;
__._.____;11;24.7.1838;1838-07-24;;;
_ ?. ____;11;8 Aug. [18]94;1894-08-08;;;
__.?.____;11;15.II.1943;1943-02-15;;;
am Neujahrstage ____;11;am Neujahrstage 1813;1813;x;;Add date?
?. _. ____;10;Sept. 2. [18]95;1895;x;;
__;9;88;;x;x;
Fed ____;9;Fed 1856;1856;;;
?. __ ____;7;Oct. 15 [18]59;1859-10;x;;
_.?.____;7;7.VIII.[18]98;1898-08-07;;;
Zwischen ____ und ____;7;[Zwischen 1913 und 1934];1913/1934;;;
__/_ ____;6;30/1 [18]70;1870;x;;
_/_ ____;6;6/6 [18]92;1892;x;;
? __.____;6;Oct 30.[18]61;1861-10;;;
A.D.____;6;A.D.1931;1931;;;
"zwischen ____ und ____;\_";6;"[zwischen 1880 und 1900];\1";1880/1900;;;
ca. ____?;5;[ca. 1788?];1788?;;;
_/_. ____;5;6/6. [18]92;1892;x;;
__/_. ____;5;31/5. 1903;1903;x;;
? _. ____;5;Juni 6. [18]60;1860;x;;
? __. ____;5;Juni 26. [18]58;1858-06;x;;
zwischen ____-____;4;[zwischen 1820-1828];1820/1828;;;
__.__.____;4;01.30.[18]61;1861-01-30;;;
____ ?;4;1842 Juni;1842;x;;
__. ? __;4;29. Juli 85;1985-07-29;;;
____/____;4;1920/1921;1920/1921;;;
__. ?. ____.;4;19. 8br. 1803.;1803.-10-19;!;!;
vor ____?;4;[vor 1898?];/1898;;;
"zwischen ____ und ____?;\_";4;"[zwischen 1840 und 1852?];\3";1840/1852;;;
den __. ?. ____;4;den 30. Aug. 1870;1870-08-30;;;
nicht vor __. ? ____;3;[nicht vor 13. Dezember 1808];1808-12-13;x;;
"le _r ? ____;\_";3;"le 1r Avril 1865;\1";1865-04;x;;
_/_.____;3;4/4.[18]92;1892;x;;
__/__ ? ____;3;13/18 Mai 1867;1867-05-18;x;;
?. _.____;3;Oct. 4.[18]60;1860;x;;
? _ ____;3;Juli 2 1875;1875;x;;
?.__.____;3;Oct.30.[18]61;1861-10;;;
A.D. ____;3;A.D. 1912;1912;;;
__. _ber ____.;3;12. 2ber 1804.;1804;x;;
am __. ? ____;3;am 25. August 1863;1863-08-25;;;
_. _ter ____;3;7. 8ter 1823;1823;x;;
nach ____?;3;[nach 1820?];1820/;;;
am Neujahrstag ____;3;am Neujahrstag 1810;1810;x;;Add date?
am Neujahr ____;3;am Neujahr 1811;1811;x;;Add date?
"____;\_";3;"[1814];\1";1814;;;
? Etat ____;2;II Etat 1887;1887;;;
?. __;2;Aug. 99;1999-08;;;
aufgenommen im ? ____;2;aufgenommen im Juni 1876;1876-06;;;
A° ____;2;A° 1804;1804;;;
? __;2;Juli 55;1955-07;;;
_ ? __;2;6 Juli 73;1973-07-06;;;
____ und ____?;2;[1850 und 1860?];1850/1860;x;;
Herbst ____;2;Herbst 1864;1864;x;;Add time range?
_._.____;2;4.3.1913;1913-03-04;;;
Ao ____;2;Ao 1914;1914;;;
_. ?y ____;2;5. July 1803;1803;x;;
__. ?b. ____;2;13. Octb. 1803;1803;x;;
__. _ber ____;2;21. 8ber 1806;1806;x;;
__. ?.____;2;13. Aug.1806;1806-08-13;;;
__. Sptb.____;2;14. Sptb.1818;1818;x;;
_. Sptb. ____;2;1. Sptb. 1823;1823;x;;
?.____;2;Sept.[18]76;1876-09;;;
nicht nach __. ? ____;2;[nicht nach 14. Mai 1913];1913-05-14;x;;
?._.____;2;Feb.3.1925;1925;x;;
? _.____;2;Juni 3.1924;1924;x;;
anno ____;2;anno 1914;1914;;;
im ? ____;2;im Juli 1899;1899-07;;;
? _. nicht nach ____;2;März 3. [nicht nach 1913];1913;x;;
gez Fed ____;2;gez Fed 1856;1856;;;
__.?.__;2;26.VIII.48;1948-08-26;;;
Ao. ____;1;Ao. 1707;1707;;;
"____;_\";1;"[1903];0\";1903;;;
__. Jahrundert?;1;[19. Jahrundert?];;x;x;
__. ... ____;1;21. [...] 1795;1795;x;;
Anno __;1;Anno 58;;x;x;
_/_ ? ____;1;1/2 Juli [18]79;1879-07-02;x;;
_/__. ____;1;6/11. [19]07;1907;x;;
__. _. ____;1;28. 9. [18]93;1893;x;;
_ / _. ____;1;8 / 9. [19]06;1906;x;;
_.__.____;1;1.12.[18]93;1893-12-01;;;
Sommer ____;1;Sommer 1892;1892;x;;Add time range?
____. ?;1;1891. Maerz;1891;x;;
Aufgenommen den _ ? ____;1;Aufgenommen den 5 August 1860;1860-08-05;;;
_ ?: ____;1;5 Aug: [18]60;1860;x;;
_ __ ____;1;1 10 [18]92;1892;x;;
Fr. _. ?. ____;1;Fr. 1. Aug. 1878;1878-08-01;;;
zwsichen ____ und ____;1;[zwsichen 1758 und 1761];1758/1761;;;
Anno ____;1;Anno 1702;1702;;;
Jui _ ____;1;Jui 4 1875;1875;x;;
?. __ - ?. _ ____;1;Sept. 21 - Oct. 4 [18]74;1874-09;x;;
?._. ____;1;Nov.8. [1861];1861;x;;
__. u. __. ? ____;1;13. u. 14. April 1824;1824-04-14;x;;
____. ?. _.;1;1859. Sept. 4.;1859;x;;
__ _ ____;1;17 7 [18]60;1860;x;;
__/?.____;1;29/I.[18]67;1867-01;x;;
? __ ____;1;Mar 10 [18]61;1861-03;x;;
__/?. ____;1;27/III. [18]61;1861-03;x;;
___?;1;185[?];;x;x;
gez. d. __. ? ____;1;gez. d. 14. May 1868;1868-05-14;;;
d. __ ? __;1;d. 15 May 60;1960-05-15;;;
__.?. __;1;31.III. 73;1973-03-31;;;
A. ____;1;A. 1647;1647;;;
? _. __;1;Juni 1. 59;;x;x;
ad Nat. d. __. ... ____;1;ad Nat. d. 25. [...] 1795;1795;x;;
ad Nat. d. __. ?. ____;1;ad Nat. d. 25. Oct. 1795;1795-10-25;;;
fecit ____ ?;1;fecit 1856 Juli;1856;x;;
chez Baumann Peters;1;chez Baumann Peters;;;;
__?__;1;[18?]97;;x;x;
__. ? ____?;1;26. Mai [1867?];1867-05-26;;;
gezeichnet ____;1;[gezeichnet 1924];1924;;;
____.;1;1914.;1914;;!;!
Zürich ____;1;Zürich 1917;1917;;;
MCM??;1;MCMXXVIII;;x;x;
Anno domini ____;1;Anno domini 1917;1917;;;
Ao.DOM.____;1;Ao.DOM.1918;1918;;;
Sonntag, __. ? ____;1;Sonntag, 26. Mai [18]67;1867-05-26;;;
cop. Dienstag ... _. ? ____;1;cop. Dienstag [...] 3. April 1855;1855-04-03;;;
... ____;1;[...] 1867;1867;;;
AD. ____;1;AD. 1919;1919;;;
__. _ber. ____.;1;15. 2ber. 1802.;1802;x;;
__. Ober. ____.;1;16. Ober. 1803.;1803;x;;
ad. nat. ____;1;ad. nat. 1813;1813;;;
__ ?. __;1;25 Apr. 67;1967-04-25;;;
Settembre ____;1;Settembre 1934;1934;;;
____/__;1;1914/15;1914/1915;;;
per _. ? ____;1;per 3. März 1923;1923-03-03;;;
AD ____;1;AD 1914;1914;;;
__. _.ber ____;1;20. 8.ber 1804;1804;x;;
__. od. __. ? ____;1;27. od. 28. May 1805;1805-05-28;x;;
__. ? ____.;1;26. 8br 1809.;1809.-10-26;!;!;
__. _br ____;1;18. 2br 1809;1809;x;;
__. ?b. ____.;1;14. Septb. 1812.;1812;x;;
_ ?y / __ ?.____;1;1 Juny / 15 Sept.1812;1812-06-15;x;;
__. .... ____;1;15. [...]. 1812;1812;x;;
_ ?y ____;1;1 Juny 1818;1818;x;;
__. Sptb. ____;1;27. Sptb. 1819;1819;x;;
__. Sprtb. ____;1;13. Sprtb. 1825;1825;x;;
? _ter ____;1;? 8ter 1825;1825?;x;;
__ Sptb. ____;1;18 Sptb. 1837;1837;x;;
__-__. ?. ____;1;13-14. Aug. 1838;1838-08-14;x;;
__. ?y. ____;1;25. Juny. 1837;1837;x;;
__. _t. ____;1;10. 8t. 1836;1836;x;;
ad nat. __. ?y ____. f. __._ber ____;1;ad nat. 13. July 1797. f. 30.8ber 1799;1797;x;;
Weihnachten ____;1;Weihnachten 1922;1922;x;;Add date?
Mittwoch Abend _ _/_ Uhr d. __. ? ____;1;Mittwoch Abend 6 1/2 Uhr d. 22. Augst [18]55;1855-08-22;;;
__. ?us Anno ____;1;20. Julius Anno 1794;1794;x;;
____-____;1;[1780-1786];1780/1786;;;
Himelfahrt ____;1;Himelfahrt [18]68;1868;x;;Add date?
_. ? circa ____?;1;9. Mai [circa 1860?];1860?;x;;
Samstag Nachmittag d. __. ? ____ ... _. Blatt;1;Samstag Nachmittag d. 21. Juli [18]55 [...] [1. Blatt];1855-07-21;;;
Samstag Abends _ _/_ Uhr d. __. ? ____ _. Blatt;1;Samstag Abends 6 1/2 Uhr d. 21. Juli 1855 [2. Blatt];1855-07-21;;;
Montag Nachmittag _ Uhr d. __. ? ____ ..., _tes Blatt;1;Montag Nachmittag 3 Uhr d. 23. Juli [18]55 [...], 1tes Blatt;1855-07-23;;;
Montag Abends _ Uhr d. __. ? ____. _tes Blatt;1;Montag Abends 7 Uhr d. 21. Juli [18]55. 2tes Blatt;1855-07-21;;;
____. ?. __.;1;1825. VI. 20.;1825-06-25;x;x;
?m ?. ____;1;Im Dez. 1946;1946-12;x;x;
den __. ? ____ nach der Natur gezeichnet;1;den 31. August 1860 nach der Natur gezeichnet;1860-08-31;x;x;
__ ?.____;1;17 Sept.1941;1941-09-17;;;
Zwischen ____ und ____?;1;[Zwischen 1902 und 1910?];1902/1910;;;
__. ?. __;1;30. Sept. 66;1966-09-30;;;
_. u. _. ? ____;1;7. u. 8. Juli 1900;1900-07-08;x;;
? _.____.;1;Juni 8.[18]60.;1860;x;;
zwischen ____-____?;1;[zwischen 1839-1841?];1839/1841;;;
_. ? ____ ad nat.;1;1. Mai 1813 ad nat.;1813-05-01;;;
d. __. ? ____;1;d. 27. April 1900;1900-04-27;;;
nicht vor _. ? ____;1;[nicht vor 2. März 1893];1893-03-02;x;;
A.o. ____;1;A.o. 1699;1699;;;
____ ad nat.;1;1813 ad nat.;1813;;;
? _ ____?;1;April 3 [1902?];1902?;x;;
____, ?.;1;[19]06, Febr.;1906;x;;
____, ?;1;1906, März;1906;x;;
__/__ ____;1;11/11 [18]57;1857;x;;
nicht später als ____;1;[nicht später als 1835];1835;x;;
__. ?? ____;1;22. Juni[?] [18]53;1853?;x;;
?erlag nicht ermittelbar;1;[Verlag nicht ermittelbar];;;;
__,_ x __,_ cm;1;15,6 x 15,3 cm;;;;
f. ____;1;f. 1794;1794;;;
Ende ? ____;1;Ende April 1917;1917-04;;;
... im ? ____ ...;1;... im October 1922 ...;1922-10;;;
?. __.____;1;Jan. 31.1925;1925-01;x;;
cf. _ ?y ____;1;cf. 4 July [18]72;1872;x;;
gezeichnet im Jahr ____;1;gezeichnet im Jahr 1813;1813;;;
um d? Jahr ____;1;[um d?] Jahr 1802;1802?;;;
auf das Neujahr ____;1;auf das Neujahr 1820;1820;x;;Add date?
auf Neujahrstage ____;1;auf Neujahrstage 1821;1821;x;;Add time range?
auf den neuen Jahrestag ____;1;auf den neuen Jahrestag 1664;1664;x;;
__. ?emb. ____;1;30. Septemb. [18]58;1858;x;;
?. ?b. ____;1;I. Oktb. 1901;1901;x;;
MDCCCL??;1;MDCCCLXXVI;;x;;
gezeichnet anno ____ ...;1;gezeichnet anno 1849 ...;1849;;;
am _. ?. ____;1;am 2. Okt. 1852;1852-10-02;;;
den __sten ?us ____;1;den 22sten Junius 1813;1813;x;;
__/_.____;1;22/4.[19]04;1904;x;;
?y. _.____.;1;July. 2.[18]60.;1860;x;;
den __ten ? ____;1;[den 27ten Oktober 1862];1862-10;x;;
"__. Jahrhunder;\_";1;"[19. Jahrhunder];\3";;x;x;
Am __. ? ____;1;Am 19. Juli 1919;1919-07-19;;;
"A; Ch:____";1;"A; Ch:1649";1649;;;
____ oder ____?;1;[1786 oder 1802?];1786?;x;;
Aufnahme am __/?/____;1;Aufnahme am 29/VII/[18]94;1894;x;;
ad. nat. d. _. ?j ____.;1;ad. nat. d. 5. Maij 1795.;1795;x;;
"____?;\_";1;"[1896?];\3";1896?;;;
A. D. N. MDC. ?;1;A. D. N. MDC. XII;;x;x;
"____ und ____;\_";1;"[1985 und 1904];\3";1904/1985;x;;
____ und ____;1;[1985 und 1904];1904/1985;x;;
nicht vor dem _. ? ____;1;[nicht vor dem 5. Juli 1887];1887-07-05;;;
____-____?;1;[1825-1845?];1825/1845;;;
?e __, ____;1;June 20, 1857;1857;x;;
vers ____;1;[vers 1840];1840;;;
zweite ½ des __. ¢s;1;[zweite Hälfte des 17. Jahrhunderts];16XX;x;x;
im ?. ____;1;im Sept. 1832;1832-09;;;
vor dem _e ?embre ____;1;vor dem 2e Septembre 1806;1806;x;;
<<Den>> _ten ? Anno ____;1;<<Den>> 8ten September Anno 1783;1783;x;;
von ____-____ verlegt;1;[von 1836-1859 verlegt];1836/1859;;;
vor dem _. ? ____;1;[vor dem 5. Juli 1887];1887-07-05;;;
A: ____;1;A: 1755;1755;;;
?y ____;1;Jan[uar]y 1803;1803;x;;
?y _.____;1;July 7.1869;1869;x;;
____. _. ? ?ormittag;1;1909. 2. Juni Vormittag;1909;x;;
_. ?? ____;1;4. Aout? [18]46;1846?;x;;
? ?, ____;1;May I, 1820;1820;x;;
den __ ? ____;1;den 19 August 1860;1860-08-19;;;Format;Appearances;Example;Interpretation;inaccurate;wrong;notes
____-____;268;1818-1838;1818/1838;;;
___-___;46;747-814;7470/7479;x;x;
ca. Anfang _. ¢.;10;ca. Anfang 4. Jh.;03XX;(x);x;
-____;10;-1309;/1309;;;
-___;8;-300;;x;x;
ca. _./_. ¢.;7;ca. 3./4. Jh.;02XX/03XX;;;
ca. _. ¢.;7;ca. 7. Jh.;06XX;;;
ca. _. ¢. v.Chr.;4;ca. 1. Jh. v.Chr.;00XX;x;x;
ca. _.¢.v.Chr.;3;ca. 1.Jh.v.Chr.;00XX;x;x;
ca. v_. ¢. - _. ¢.;3;ca. v1. Jh. - 1. Jh.;00XX;x;x;
ca. um ___/__;3;ca. um 889/94;;x;x;
ca. -_. ¢.;2;ca. -7. Jh.;06XX;x;x;
ca. Ende _. ¢./Anfang _. ¢.;2;ca. Ende 3. Jh./Anfang 4. Jh.;02XX;x;x;
__?-____;2;18XX-1944;1944;x;x;
____/____-____;2;1290/1300-1360;1290/1300;x;;
"____-____;ZG";1;"1647-1709;ZG";1647/1709;;;
v___-v__;1;v100-v44;1000/1009;x;x;
ca. ___-___;1;ca. 453-526;4530?/4539?;x;x;
??-____;1;XXXX-1558;/1558;;;
__-__;1;14-62;;x;x;
ca. seit ____;1;ca. seit 1685;1685?;x;;x („/„ missing)
____-;1;-1863;1863/;x;x;
ca. __./__. ¢;1;ca. 13./14. Jahrhundert;12XX/13XX;;;
v__-v__;1;v87-v15;;x;x;
v_-__;1;v1-29;;x;x;
ca. ___-ca. ___;1;ca. 456-ca. 531;4560?/4569?;x;x;
ca. ?-___;1;ca. ?-249;;x;x;
___-____;1;981-1055;9810/9819;x;x;Format;Appearances;Example;Interpretation;inaccurate;wrong;note
____-____;16834;1819-1892;1819/1892;;;
____-;220;-1803;1803/;x;x;
ca. __. ¢.;12;ca. 19. Jh.;18XX;;;
__.__.____-__.__.____;9;26.09.1810-15.07.1882;1810-09-26;x;;
"____-____{dollar}_ger;_\";8;"1777-1842{dollar}9ger;1\";1777/1842;;;
Mitte __. ¢dt.;6;Mitte 18. Jhdt.;17XX;(x);;
ca. _. ½ __. ¢.;5;ca. 1. Hälfte 18. Jh.;1700?/1750?;;;
__./__. ¢.;4;15./16. Jht.;14XX/15XX;;;
erwähnt ____-____;4;erwähnt 1840-1852;1840/1852;;;
____-_____________;2;1808-1872010658196;1808/1872;;;? (numbers?)
-____;2;-1778;/1778;;;
"____-____;_\";2;"1735-1795;1\";1735/1795;;;1 = January?
__. ¢.;2;18. Jh.;17XX;;;
____-??;2;1800-XXXX;1800/;;;
ca. __. ¢;2;ca. 19. Jahrhundert;18XX;;;
__?-____;2;15XX-1589;1589;x;x;
nachgewiesen ____-____;1;nachgewiesen 1559-1586;1559/1586;;;
ca. __./__. ¢.;1;ca. 17./18. Jh.;16XX/17XX;;;
um ____;1;um 1834;1834?;;;
_. H. __. ¢.;1;2. H. 16. Jh.;01XX;x;x;
____-?;1;1847-?;1847/;;;